binary,code,description,octal
0000000000000000,STZ,Store zero,000000
0000100000000000,STA,Store A,004000
0001000000000000,STT,Store T,010000
0001100000000000,STX,StoreX,014000
0100000000000000,MIN,Memory Increment & skip,040000
0100100000000000,LDA,Load A,044000
0100000000000000,LDT,Load T,040000
0101100000000000,LDX,Load X,054000
0110000000000000,ADD,Add to A,060000
0110100000000000,SUB,Subtract from A,064000
0111000000000000,AND,Logical AND to A,070000
0111100000000000,ORA,inclusive OR to A,074000
1010000000000000,MPY,Multiply integer,120000
0010000000000000,STD,Store double,020000
0010100000000000,LDD,Load double,024000
0011000000000000,STF,Store floating,030000
0011100000000000,LDF,Load floating,034000
1000000000000000,FAD,add to floating,100000
1000100000000000,FSB,subtract from floating,104000
1001000000000000,FMU,multiply floating,110000
1001100000000000,FDV,divide floating,114000
1100010110000000,SBYT,Store byte,142600
1100010010000000,LBYT,Load byte,142200
1101001100000000,NLZ,Convert A to float TAD,151400
1101010000000000,DNZ,Convert TAD to integer A,152000
1111000100000000,SAA,Set argument to A,170400
1111010100000000,AAA,Add argument to A,172400
1111001100000000,SAX,Set argument to X,171400
1111011100000000,AAX,Add argument to X,173400
1111001000000000,SAT,Set argument to T,171000
1111011000000000,AAT,Add argument to T,173000
1111000000000000,SAB,Set argument to B,170000
1111010000000000,AAB,Add argument to B,172000
1100110000000000,RADD,,146000
1100110110000000,RSUB,,146600
1100110001000000,COPY,,146100
0000000100000000,AD1,,000400
0000001000000000,ADC,,001000
1100100000000000,SWAP,,144000
1100100100000000,RAND,,144400
1100101000000000,REXO,,145000
1100101100000000,RORA,,145400
0000000001000000,CLD,,000100
0000000010000000,CM1,,000200
0000000000000000,EXIT,,
0000000000000000,RCLR,,
0000000000000000,RINC,,
0000000000000000,RCDR,,
0000000000000000,RMPY,,
0000000000000000,RDIV,,
1111101000000000,BSKP,,175000
1111100000000000,BSET,,174000
1111110010000000,BSTA,,176200
1111110000000000,BSTC,,176000
1111110110000000,BLDA,,176600
1111110100000000,BLDC,,176400
1111111000000000,BANC,,177000
1111111100000000,BORC,,177400
1111111010000000,BAND,,177200
1111111110000000,BORA,,177600
1010100000000000,JMP,,124000
1011100000000000,JPL,,134000
1011000000000000,JAP,,130000
1011000100000000,JAN,,130400
1011001000000000,JAZ,,131000
1011001100000000,JAF,,131400
1011011100000000,JXN,,133400
1011010000000000,JPC,,132000
1011010100000000,JNC,,132400
1100000000000000,SKP,,140000
1101100000000000,SHT,Shift T,154000
1101100010000000,SHD,Shift D,154200
1101101101000000,SHA,Shift A,155500
1101100110000000,SAD,Shift AD,154600
0000001000000000,ROT,Rotational shift,001000
0000010000000000,ZIN,Zero in shift,002000
0000011000000000,LIN,Linked end input,003000
0000000000000000,SHR,Shift Right,